cityName,stateName,slope,inter,homePriceMean,amplitude,shift,fitError,marketRank,rankedGrowth
New York,New York,1112.771,453933.384,515135.7798,357.654201,-2.764772212,0.900531914,4,0.337570566
Los Angeles,California,3708.502,301224.159,505191.7431,363.5763465,-2.161727335,0.763456799,3,1.365667523
Houston,Texas,763.271,130748.522,172728.4404,469.2387247,-2.076479446,0.797614575,1,0.676063907
Chicago,Illinois,778.959,181468.247,224311.0092,770.4790893,-2.489698965,0.745631814,1,0.689959483
San Antonio,Texas,705.278,124559.225,163349.5413,334.0197802,-2.067717992,0.816558374,1,0.624696864
Philadelphia,Pennsylvania,567.019,94488.277,125674.3119,255.5630083,-2.108925697,0.915979885,1,0.502234567
Phoenix,Arizona,1550.639,74815.749,160100.9174,476.7756295,-1.492061994,0.631695716,1,1.373471625
Las Vegas,Nevada,1706.142,92598.879,186436.6972,494.7650739,-1.638017027,0.866231719,1,1.511207718
San Diego,California,2873.448,317215.392,475255.0459,241.2028749,-1.843631767,0.663005401,3,1.058156262
Dallas,Texas,1309.229,179907.085,251914.6789,212.7712707,-1.816221656,0.751063021,1,1.159643787
Austin,Texas,1626.617,207314.985,296778.8991,313.8459772,-1.891504418,0.58993944,2,0.846073881
San Jose,California,5997.642,381390.265,711260.5505,154.6407294,-1.814382658,0.621163737,3,2.208650527
Jacksonville,Florida,871.358,59378.084,107302.7523,181.880358,-1.913417757,0.953847965,1,0.771801488
San Francisco,California,7541.569,621449.49,1.04E+06,66.79070666,-2.11299951,0.889422381,6,1.382952815
Charlotte,North Carolina,1000.689,123226.351,178264.2202,270.5688438,-1.982185194,0.874473005,1,0.886355849
Fort Worth,Texas,1132.105,103869.98,166135.7798,236.3786175,-2.056746269,0.79762772,1,1.002756988
Tucson,Arizona,848.978,110571.356,157265.1376,166.7887046,-1.516053519,0.841732247,1,0.751978502
Columbus,Ohio,760.818,80610.041,122455.0459,209.928326,-2.043077693,0.819538259,1,0.673891173
Louisville,Kentucky,582.665,109473.598,141520.1835,246.4157268,-2.174066879,0.771610963,1,0.516092942
Orlando,Florida,1631.224,76692.762,166410.0917,150.7760264,-1.252648932,0.833371862,1,1.444849431
El Paso,Texas,191.081,120237.36,130746.789,77.77181545,-1.865119419,0.863478144,1,0.169249149
Denver,Colorado,2426.037,179195.515,312627.5229,278.7243112,-2.278031828,0.677708569,1,2.148851525
Seattle,Washington,3876.217,296034.659,509226.6055,228.1910441,-1.987178828,0.650200524,2,2.016188175
Memphis,Tennessee,496.872,52929.817,80257.79817,116.3511471,-2.034182625,0.840070768,1,0.440102173
Washington,District of Columbia,1681.907,387454.74,479959.633,118.5174301,-2.034572265,0.813693519,3,0.619367542
Portland,Oregon,2010.249,227862.895,338426.6055,211.9053258,-2.073951027,0.727922413,2,1.045617483
