cityName,stateName,slope,inter,homePriceMean,amplitude,shift,fitError,marketRank,rankedGrowth
Phoenix,Arizona,1550.639,74815.749,160100.9174,476.7756295,-1.492061994,0.631695716,1,1.373471625
San Diego,California,2873.448,317215.392,475255.0459,241.2028749,-1.843631767,0.663005401,3,1.058156262
Austin,Texas,1626.617,207314.985,296778.8991,313.8459772,-1.891504418,0.58993944,2,0.846073881
San Jose,California,5997.642,381390.265,711260.5505,154.6407294,-1.814382658,0.621163737,3,2.208650527
Denver,Colorado,2426.037,179195.515,312627.5229,278.7243112,-2.278031828,0.677708569,1,2.148851525
Seattle,Washington,3876.217,296034.659,509226.6055,228.1910441,-1.987178828,0.650200524,2,2.016188175
Sacramento,California,2119.064,106111.111,222659.633,122.6340655,-1.963190808,0.658369911,1,1.87695155
Omaha,Nebraska,613.231,113193.374,146921.1009,209.5755486,-2.05629331,0.677633417,1,0.543166642
Minneapolis,Minnesota,1099.74,97940.01,158425.6881,139.3793679,-2.116153047,0.608982108,1,0.974089833
Riverside,California,2764.899,318494.75,470564.2202,55.38799139,-1.831164469,0.667717568,3,1.018182751
Bakersfield,California,2780.051,244742.151,397644.9541,70.34781036,-1.855651928,0.599048473,2,1.44602481
Pittsburgh,Pennsylvania,1911.735,143625.229,248770.6422,197.3337212,-2.145809114,0.668190636,1,1.693310807
Lexington,Kentucky,463.396,130748.063,156234.8624,140.4189316,-1.995857798,0.647103894,1,0.410450954
Anchorage,Alaska,1854.09,130263.609,232238.5321,101.5403238,-2.519473644,0.580674395,1,1.642252004
Saint Paul,Minnesota,559.507,119520.693,150293.578,81.1348883,-2.306161885,0.659137365,1,0.495580847
Naples,Florida,1973.094,102228.44,210748.6239,204.7455981,-1.018631591,0.69178443,1,1.747659269
Plano,Texas,1940.734,94768.807,201509.1743,85.96094199,-2.072749481,0.660956164,1,1.718996543
Lincoln,Nebraska,1426.188,61877.982,140318.3486,109.4033799,-2.081395597,0.608968015,1,1.263239703
Madison,Wisconsin,1357.001,127788.787,202423.8532,140.3237081,-1.998440967,0.566613577,1,1.201957624
Gilbert,Arizona,418.175,97382.926,120382.5688,117.5651303,-1.549205471,0.687611502,1,0.370396654
Fremont,California,3423.115,248503.007,436774.3119,49.80038517,-2.134275056,0.588093424,2,1.780510221
Arlington,Virginia,1175.527,209608.41,274262.3853,70.10773802,-1.898735258,0.674481497,2,0.611442455
Santa Rosa,California,2621.415,268568.96,412746.789,36.58950416,-1.926387082,0.663220137,2,1.363511363
Woodbridge,Virginia,2071.852,132943.578,246895.4128,72.60589879,-1.96196876,0.654997279,1,1.83513373
Aurora,Illinois,968.264,202439.959,255694.4954,70.33097455,-2.623922361,0.690971939,2,0.503636001
Overland Park,Kansas,1338.415,92222.936,165835.7798,86.05743257,-2.056080516,0.652265741,1,1.185495157
Tempe,Arizona,1533.376,112892.762,197228.4404,68.01332622,-1.785248906,0.690103881,1,1.358180999
Elk Grove,California,750.189,404499.235,445759.633,38.91948572,-1.776591569,0.675315762,4,0.227577575
Peoria,Arizona,2505.287,181639.501,319430.2752,67.95983363,-1.291050052,0.681435412,1,2.219046861
